🇨🇳 央视频道,#genre#
西昌,https://php.ntnas.top/api/sxg.php?id=xctHD_2000
西充综合,https://php.ntnas.top/api/sxg.php?id=xczh_2000
喜德,https://php.ntnas.top/api/sxg.php?id=xdxw_4000
新都综合,https://php.ntnas.top/api/sxg.php?id=xdzhpd_2000
新津,https://php.ntnas.top/api/sxg.php?id=xjzh_4000
兴文电视台,https://php.ntnas.top/api/sxg.php?id=xwt_2000
叙永电视台,https://php.ntnas.top/api/sxg.php?id=xyxw_2000
叙州新闻综合,https://php.ntnas.top/api/sxg.php?id=ybx_2000
宣汉综合,https://php.ntnas.top/api/sxg.php?id=xhxwzh_2000
雅安公共,https://php.ntnas.top/api/sxg.php?id=yagg_2000
雅安新闻综合,https://php.ntnas.top/api/sxg.php?id=yazh_2000
雅安雨城,https://php.ntnas.top/api/sxg.php?id=ycpd_2000
盐边电视台,https://php.ntnas.top/api/sxg.php?id=ybtgq_2000
盐亭1,https://php.ntnas.top/api/sxg.php?id=ytzh_2000
雁江,https://php.ntnas.top/api/sxg.php?id=yjxw_2000
仪陇新闻综合,https://php.ntnas.top/api/sxg.php?id=ylxw_2000
宜宾公共,https://php.ntnas.top/api/sxg.php?id=ybetH264_2000
宜宾新闻综合,https://php.ntnas.top/api/sxg.php?id=ybytH264_2000
营山,https://php.ntnas.top/api/sxg.php?id=ysxw_2000
越西综合,https://php.ntnas.top/api/sxg.php?id=yxt_4000
岳池,https://php.ntnas.top/api/sxg.php?id=ycxw_2000
昭化综合,https://php.ntnas.top/api/sxg.php?id=zhxwzh_2000
中江新闻综合,https://php.ntnas.top/api/sxg.php?id=zjxwzh_2000
资阳新闻综合,https://php.ntnas.top/api/sxg.php?id=zyxwzh_2000
资中综合,https://php.ntnas.top/api/sxg.php?id=zzzh_2000
自贡文化生活,https://php.ntnas.top/api/sxg.php?id=zggg_4000
自贡综合,https://php.ntnas.top/api/sxg.php?id=zgxw_4000
郫县新闻综合,https://php.ntnas.top/api/sxg.php?id=pxds1_2000
荥经电视台,https://php.ntnas.top/api/sxg.php?id=xjdst_2000
阆中综合,https://php.ntnas.top/api/sxg.php?id=lzxw_2000
沐川综合,https://php.ntnas.top/api/sxg.php?id=mcxw_2000
泸定综合频道,https://php.ntnas.top/api/sxg.php?id=ldxw_4000
泸县综合,https://php.ntnas.top/api/sxg.php?id=lxxwzh_2000
泸州公共,https://php.ntnas.top/api/sxg.php?id=lzgg_2000
珙县新闻,https://php.ntnas.top/api/sxg.php?id=gxzh_2000
梓潼综合,https://php.ntnas.top/api/sxg.php?id=ztgq_2000
犍为新闻综合,https://php.ntnas.top/api/sxg.php?id=qwxwzh_2000
筠连TV,https://php.ntnas.top/api/sxg.php?id=ylyt_2000
CGTN-俄语,https://php.ntnas.top/api/sxg.php?id=ey_2000
CGTN-法语,https://php.ntnas.top/api/sxg.php?id=fy_2000
CGTN-西语,https://php.ntnas.top/api/sxg.php?id=xbyy_2000
CGTN-英语,https://php.ntnas.top/api/sxg.php?id=CGTN_4000
风尚购物,https://php.ntnas.top/api/sxg.php?id=fsgw_4000
家家购物,https://php.ntnas.top/api/sxg.php?id=jjgw_4000
家有购物,https://php.ntnas.top/api/sxg.php?id=jygw_4000
央广购物,https://php.ntnas.top/api/sxg.php?id=yggwgq_4000
优购物,https://php.ntnas.top/api/sxg.php?id=ygw_4000
