绵阳电信,#genre#
爱悬疑专区,http://op.nicker.top:5022/udp/239.93.4.228:8576
爱青春专区,http://op.nicker.top:5022/udp/239.93.4.232:8678
爱都市专区,http://op.nicker.top:5022/udp/239.93.4.231:8674
少儿天地专区,http://op.nicker.top:5022/udp/239.93.4.249:8804
爱幼教专区,http://op.nicker.top:5022/udp/239.93.4.233:8682
爱玩具专区,http://op.nicker.top:5022/udp/239.93.4.234:8686
爱动漫专区,http://op.nicker.top:5022/udp/239.93.4.239:8736
求索频道高清,http://op.nicker.top:5022/udp/239.93.5.240:8740
爱电竞专区,http://op.nicker.top:5022/udp/239.93.4.235:8690
爱赛车专区,http://op.nicker.top:5022/udp/239.93.4.236:8700
爱宠宠物专区,http://op.nicker.top:5022/udp/239.93.4.247:8796
生活时尚,http://op.nicker.top:5022/udp/239.93.4.244:8784
环球旅游,http://op.nicker.top:5022/udp/239.93.4.246:8792
来钓鱼吧专区,http://op.nicker.top:5022/udp/239.93.4.224:8496
麻辣体育专区,http://op.nicker.top:5022/udp/239.93.5.210:9732
绚影4K专区,http://op.nicker.top:5022/udp/239.93.4.248:8800
先锋乒羽,http://op.nicker.top:5022/udp/239.93.4.215:8864
天元围棋,http://op.nicker.top:5022/udp/239.93.5.214:8860
快乐垂钓,http://op.nicker.top:5022/udp/239.93.5.6:7010
茶频道,http://op.nicker.top:5022/udp/239.93.4.5:7004
热血剧场专区,http://op.nicker.top:5022/udp/239.93.5.233:8082
乐龄学堂专区,http://op.nicker.top:5022/udp/239.93.4.216:8868
亲子趣学4K专区,http://op.nicker.top:5022/udp/239.93.5.236:8094
津津悦读4K专区,http://op.nicker.top:5022/udp/239.93.5.234:8086
动画番剧专区,http://op.nicker.top:5022/udp/239.93.5.230:8036
中录动漫4K专区,http://op.nicker.top:5022/udp/239.93.5.235:8090
熊猫24小时专区,http://op.nicker.top:5022/udp/239.93.5.229:8032
综艺咖秀专区,http://op.nicker.top:5022/udp/239.93.5.232:8052
红色经典专区,http://op.nicker.top:5022/udp/239.93.5.231:8046
4K超高清电影专区,http://op.nicker.top:5022/udp/239.93.5.5:7000
4K乐享超清专区,http://op.nicker.top:5022/udp/239.93.5.246:8106
中国体育1,http://op.nicker.top:5022/udp/239.93.5.241:8766
中国体育2,http://op.nicker.top:5022/udp/239.93.4.242:8770
中国体育3,http://op.nicker.top:5022/udp/239.93.4.243:8774
精彩推荐专区,http://op.nicker.top:5022/udp/239.93.4.217:8416
高清直播室1,http://op.nicker.top:5022/udp/239.93.5.28:8162
高清直播室2,http://op.nicker.top:5022/udp/239.93.5.23:8132
高清直播室3,http://op.nicker.top:5022/udp/239.93.5.167:9474
高清直播室4,http://op.nicker.top:5022/udp/239.93.5.138:9302
高清直播室5,http://op.nicker.top:5022/udp/239.93.5.142:9326
高清直播室6,http://op.nicker.top:5022/udp/239.93.5.182:9404
高清直播室7,http://op.nicker.top:5022/udp/239.93.5.147:9350
高清直播室8,http://op.nicker.top:5022/udp/239.93.5.2:8042
红原日干乔,http://op.nicker.top:5022/udp/239.93.5.213:8428
红原月亮湾,http://op.nicker.top:5022/udp/239.93.4.213:8424
收视导视3,http://op.nicker.top:5022/udp/239.93.5.16:7038
雅克音乐季直播,http://op.nicker.top:5022/udp/239.93.4.211:8848
雅克音乐季宣传,http://op.nicker.top:5022/udp/239.93.4.207:8852
云演艺宣传,http://op.nicker.top:5022/udp/239.93.5.130:8780
天翼高清1,http://op.nicker.top:5022/udp/239.93.4.7:7014
天翼高清2,http://op.nicker.top:5022/udp/239.93.4.8:7016
天翼高清3,http://op.nicker.top:5022/udp/239.93.4.9:7018
天翼高清4,http://op.nicker.top:5022/udp/239.93.5.9:7020
天翼高清5,http://op.nicker.top:5022/udp/239.93.5.10:7022
天翼高清6,http://op.nicker.top:5022/udp/239.93.4.10:7024
天翼高清7,http://op.nicker.top:5022/udp/239.93.4.11:7026
天翼高清8,http://op.nicker.top:5022/udp/239.93.4.12:7028
天翼高清9,http://op.nicker.top:5022/udp/239.93.4.13:7030
天翼高清10,http://op.nicker.top:5022/udp/239.93.4.14:7032
天翼高清11,http://op.nicker.top:5022/udp/239.93.4.15:7034
天翼高清12,http://op.nicker.top:5022/udp/239.93.5.15:7036
创新及人才文化节,http://op.nicker.top:5022/udp/239.93.4.27:8170
华西证券,http://op.nicker.top:5022/udp/239.93.5.206:8840
央视频道1,http://op.nicker.top:5022/udp/239.93.4.164:7658
央视频道2,http://op.nicker.top:5022/udp/239.93.4.49:7176
本地频道1,http://op.nicker.top:5022/udp/239.93.4.167:7670
本地频道2,http://op.nicker.top:5022/udp/239.93.4.51:7184
热门卫视,http://op.nicker.top:5022/udp/239.93.4.50:7180
地方卫视1,http://op.nicker.top:5022/udp/239.93.4.169:7678
地方卫视2,http://op.nicker.top:5022/udp/239.93.4.170:7682
综合卫视,http://op.nicker.top:5022/udp/239.93.4.168:7674
付费频道,http://op.nicker.top:5022/udp/239.93.4.171:7686
重庆卫视PIP,http://op.nicker.top:5022/udp/239.93.4.93:7374
CCTV13（PIP）,http://op.nicker.top:5022/udp/239.93.4.70:7260
CCTV3（PIP）,http://op.nicker.top:5022/udp/239.93.4.241:7050
CCTV17（PIP）,http://op.nicker.top:5022/udp/239.93.4.94:7378
SCTV6（PIP）,http://op.nicker.top:5022/udp/239.93.4.134:7538
四川乡村PIP,http://op.nicker.top:5022/udp/239.93.4.141:7566
康巴卫视PIP,http://op.nicker.top:5022/udp/239.93.4.120:7482
安徽卫视PIP,http://op.nicker.top:5022/udp/239.93.4.128:7514
辽宁卫视PIP,http://op.nicker.top:5022/udp/239.93.4.130:7522
CETV1高清PIP,http://op.nicker.top:5022/udp/239.93.4.99:7398
SCTV科教（PIP）,http://op.nicker.top:5022/udp/239.93.4.138:7554
宁夏卫视PIP,http://op.nicker.top:5022/udp/239.93.4.148:7594
炫动卡通PIP,http://op.nicker.top:5022/udp/239.93.4.157:6012
河南卫视PIP,http://op.nicker.top:5022/udp/239.93.4.133:7534
广西卫视PIP,http://op.nicker.top:5022/udp/239.93.4.142:7570
云南卫视PIP,http://op.nicker.top:5022/udp/239.93.4.132:7530
CETV4PIP,http://op.nicker.top:5022/udp/239.93.4.122:7490
陕西卫视PIP,http://op.nicker.top:5022/udp/239.93.4.144:7578
山西卫视PIP,http://op.nicker.top:5022/udp/239.93.4.145:7582
内蒙古卫视PIP,http://op.nicker.top:5022/udp/239.93.4.146:7586
青海卫视PIP,http://op.nicker.top:5022/udp/239.93.4.147:7590
西藏卫视PIP,http://op.nicker.top:5022/udp/239.93.4.149:7598
新疆卫视PIP,http://op.nicker.top:5022/udp/239.93.4.150:7602
甘肃卫视PIP,http://op.nicker.top:5022/udp/239.93.5.151:7606
东方财经PIP,http://op.nicker.top:5022/udp/239.93.4.155:6004
CCTV15（PIP）,http://op.nicker.top:5022/udp/239.93.4.75:7280
中国交通·四川PIP,http://op.nicker.top:5022/udp/239.93.4.97:7390
河北卫视PIP,http://op.nicker.top:5022/udp/239.93.4.140:7562
江西卫视PIP,http://op.nicker.top:5022/udp/239.93.4.135:7542
贵州卫视PIP,http://op.nicker.top:5022/udp/239.93.4.136:7546
金鹰纪实高清PIP,http://op.nicker.top:5022/udp/239.93.4.96:7386
上海纪实高清PIP,http://op.nicker.top:5022/udp/239.93.4.95:7382
深圳高清（PIP）,http://op.nicker.top:5022/udp/239.93.4.61:7224
山东高清（PIP）,http://op.nicker.top:5022/udp/239.93.4.63:7232
广东高清（PIP）,http://op.nicker.top:5022/udp/239.93.4.69:7256
SCTV3（PIP）,http://op.nicker.top:5022/udp/239.93.4.77:7288
SCTV5（PIP）,http://op.nicker.top:5022/udp/239.93.4.131:7526
天津高清（PIP）,http://op.nicker.top:5022/udp/239.93.4.67:7248
东方高清（PIP）,http://op.nicker.top:5022/udp/239.93.4.59:7216
CCTV1杜比（PIP）,http://op.nicker.top:5022/udp/239.93.4.64:7236
CCTV5（PIP）,http://op.nicker.top:5022/udp/239.93.4.45:7160
CCTV少儿（PIP）,http://op.nicker.top:5022/udp/239.93.4.44:7156
CCTV12（PIP）,http://op.nicker.top:5022/udp/239.93.4.43:7152
CCTV10（PIP）,http://op.nicker.top:5022/udp/239.93.4.42:7148
CCTV9（PIP）,http://op.nicker.top:5022/udp/239.93.4.41:7144
CCTV8（PIP）,http://op.nicker.top:5022/udp/239.93.4.38:7136
CCTV6（PIP）,http://op.nicker.top:5022/udp/239.93.4.36:7128
CCTV7（PIP）,http://op.nicker.top:5022/udp/239.93.4.37:7132
CCTV2PIP,http://op.nicker.top:5022/udp/239.93.4.34:7120
北京高清（PIP）,http://op.nicker.top:5022/udp/239.93.4.60:7220
四川高清（PIP）,http://op.nicker.top:5022/udp/239.93.4.65:7240
浙江高清（PIP）,http://op.nicker.top:5022/udp/239.93.4.48:7172
江苏高清（PIP）,http://op.nicker.top:5022/udp/239.93.4.47:7168
湖南高清（PIP）,http://op.nicker.top:5022/udp/239.93.4.46:7164
湖北高清（PIP）,http://op.nicker.top:5022/udp/239.93.4.68:7252
黑龙江高清（PIP）,http://op.nicker.top:5022/udp/239.93.4.62:7228
CCTV4（PIP）,http://op.nicker.top:5022/udp/239.93.4.73:7272
CCTV11（PIP）,http://op.nicker.top:5022/udp/239.93.4.74:7276
峨眉电影高清PIP,http://op.nicker.top:5022/udp/239.93.4.121:7486
SCTV2（PIP）,http://op.nicker.top:5022/udp/239.93.4.76:7284
东南卫视PIP,http://op.nicker.top:5022/udp/239.93.4.139:7558
SCTV4（PIP）,http://op.nicker.top:5022/udp/239.93.4.129:7518
SCTV7（PIP）,http://op.nicker.top:5022/udp/239.93.4.137:7550
CCTV1（PIP）,http://op.nicker.top:5022/udp/239.93.4.240:7044
吉林卫视PIP,http://op.nicker.top:5022/udp/239.93.4.143:7574
嘉佳卡通PIP,http://op.nicker.top:5022/udp/239.93.4.156:6008
CCTV5（PIP）,http://op.nicker.top:5022/udp/239.93.4.35:7124
四川移动,#genre#
CDTV1HD,http://op.nicker.top:5023/udp/239.10.0.11:5140
CDTV2HD,http://op.nicker.top:5023/udp/239.10.0.12:5140
CDTV3HD,http://op.nicker.top:5023/udp/239.10.0.13:5140
CDTV4HD,http://op.nicker.top:5023/udp/239.10.0.14:5140
CDTV5HD,http://op.nicker.top:5023/udp/239.10.0.15:5140
CDTV6HD,http://op.nicker.top:5023/udp/239.10.0.16:5140
CCTV1HD,http://op.nicker.top:5023/udp/239.10.0.151:5140
CCTV2HD,http://op.nicker.top:5023/udp/239.11.0.108:5140
CCTV3HD,http://op.nicker.top:5023/udp/239.11.0.101:5140
CCTV4HD,http://op.nicker.top:5023/udp/239.11.0.109:5140
CCTV5HD,http://op.nicker.top:5023/udp/239.11.0.100:5140
CCTV5+HD,http://op.nicker.top:5023/udp/239.10.0.154:5140
CCTV6HD,http://op.nicker.top:5023/udp/239.11.0.102:5140
CCTV7HD,http://op.nicker.top:5023/udp/239.11.0.110:5140
CCTV8HD,http://op.nicker.top:5023/udp/239.11.0.103:5140
CCTV9HD,http://op.nicker.top:5023/udp/239.11.0.111:5140
CCTV9HD,http://op.nicker.top:5023/udp/239.11.0.111:5140
CCTV10HD,http://op.nicker.top:5023/udp/239.11.0.112:5140
CCTV11HD,http://op.nicker.top:5023/udp/239.11.0.22:5140
CCTV12HD,http://op.nicker.top:5023/udp/239.11.0.113:5140
CCTV13HD,http://op.nicker.top:5023/udp/239.10.0.165:5140
CCTV14HD,http://op.nicker.top:5023/udp/239.11.0.114:5140
CCTV15HD,http://op.nicker.top:5023/udp/239.11.0.26:5140
CCTV16HD,http://op.nicker.top:5023/udp/239.11.0.67:5140
CCTV17HD,http://op.nicker.top:5023/udp/239.11.0.107:5140
四川经济HD,http://op.nicker.top:5023/udp/239.11.0.2:5140
四川文化HD,http://op.nicker.top:5023/udp/239.11.0.3:5140
四川乡村HD,http://op.nicker.top:5023/udp/239.11.0.4:5140
四川新闻HD,http://op.nicker.top:5023/udp/239.11.0.5:5140
四川7HD,http://op.nicker.top:5023/udp/239.11.0.8:5140
峨眉电影HD,http://op.nicker.top:5023/udp/239.11.0.11:5140
河北卫视HD,http://op.nicker.top:5023/udp/239.11.0.31:5140
山西卫视HD,http://op.nicker.top:5023/udp/239.11.0.32:5140
内蒙古卫视,http://op.nicker.top:5023/udp/239.11.0.33:5140
吉林卫视HD,http://op.nicker.top:5023/udp/239.11.0.35:5140
黑龙江卫视HD,http://op.nicker.top:5023/udp/239.11.0.36:5140
东南卫视HD,http://op.nicker.top:5023/udp/239.11.0.41:5140
江西卫视HD,http://op.nicker.top:5023/udp/239.11.0.42:5140
河南卫视HD,http://op.nicker.top:5023/udp/239.11.0.44:5140
广西卫视HD,http://op.nicker.top:5023/udp/239.11.0.48:5140
贵州卫视HD,http://op.nicker.top:5023/udp/239.11.0.51:5140
云南卫视标清,http://op.nicker.top:5023/udp/239.11.0.52:5140
西藏卫视标清,http://op.nicker.top:5023/udp/239.11.0.53:5140
陕西卫视,http://op.nicker.top:5023/udp/239.11.0.54:5140
甘肃卫视HD,http://op.nicker.top:5023/udp/239.11.0.55:5140
青海卫视标清,http://op.nicker.top:5023/udp/239.11.0.56:5140
宁夏卫视,http://op.nicker.top:5023/udp/239.11.0.57:5140
新疆卫视标清,http://op.nicker.top:5023/udp/239.11.0.58:5140
优漫卡通,http://op.nicker.top:5023/udp/239.11.0.63:5140
哈哈炫动,http://op.nicker.top:5023/udp/239.11.0.64:5140
东方卫视HD,http://op.nicker.top:5023/udp/239.11.0.68:5140
浙江卫视HD,http://op.nicker.top:5023/udp/239.11.0.70:5140
深圳卫视HD,http://op.nicker.top:5023/udp/239.11.0.71:5140
山东卫视HD,http://op.nicker.top:5023/udp/239.11.0.73:5140
河北卫视HD,http://op.nicker.top:5023/udp/239.11.0.74:5140
江苏卫视HD,http://op.nicker.top:5023/udp/239.11.0.76:5140
四川影视HD,http://op.nicker.top:5023/udp/239.11.0.77:5140
四川卫视HD,http://op.nicker.top:5023/udp/239.11.0.78:5140
广东卫视HD,http://op.nicker.top:5023/udp/239.11.0.115:5140
重庆卫视HD,http://op.nicker.top:5023/udp/239.11.0.116:5140
安徽卫视HD,http://op.nicker.top:5023/udp/239.11.0.117:5140
辽宁卫视HD,http://op.nicker.top:5023/udp/239.11.0.118:5140
湖南卫视HD,http://op.nicker.top:5023/udp/239.11.0.119:5140
测试台,http://op.nicker.top:5023/udp/239.11.0.120:5140
北京卫视HD,http://op.nicker.top:5023/udp/239.11.0.121:5140
体育足球HD,http://op.nicker.top:5023/udp/239.11.0.122:5140
天津卫视HD,http://op.nicker.top:5023/udp/239.11.0.123:5140
魅力足球,http://op.nicker.top:5023/udp/239.11.0.175:5140
四川乡村HD,http://op.nicker.top:5023/udp/239.11.0.176:5140
CGTN HD,http://op.nicker.top:5023/udp/239.11.0.138:5140
CGTN西班牙HD,http://op.nicker.top:5023/udp/239.11.0.79:5140
CGTN法语HD,http://op.nicker.top:5023/udp/239.11.0.80:5140
CGTN阿拉伯HD,http://op.nicker.top:5023/udp/239.11.0.81:5140
CGTN俄语HD,http://op.nicker.top:5023/udp/239.11.0.82:5140
CETV1HD,http://op.nicker.top:5023/udp/239.11.0.139:5140
CETV2,http://op.nicker.top:5023/udp/239.11.0.246:5140
CETV3,http://op.nicker.top:5023/udp/239.11.0.247:5140
CETV4,http://op.nicker.top:5023/udp/239.11.0.248:5140
咪咕体育,http://op.nicker.top:5023/udp/239.10.0.17:5140
咪咕体育,http://op.nicker.top:5023/udp/239.10.0.19:5140
咪咕体育,http://op.nicker.top:5023/udp/239.10.0.20:5140
咪咕体育,http://op.nicker.top:5023/udp/239.10.0.21:5140
咪咕体育,http://op.nicker.top:5023/udp/239.10.0.22:5140
咪咕体育,http://op.nicker.top:5023/udp/239.10.0.23:5140
咪咕体育,http://op.nicker.top:5023/udp/239.10.0.24:5140
咪咕体育,http://op.nicker.top:5023/udp/239.10.0.25:5140
咪咕体育,http://op.nicker.top:5023/udp/239.10.0.26:5140
咪咕体育,http://op.nicker.top:5023/udp/239.10.0.27:5140
彝族综合台标清,http://op.nicker.top:5023/udp/239.10.0.32:5140
预备频道,http://op.nicker.top:5023/udp/239.10.0.36:5140
预备频道,http://op.nicker.top:5023/udp/239.10.0.37:5140
预备频道,http://op.nicker.top:5023/udp/239.10.0.38:5140
预备频道,http://op.nicker.top:5023/udp/239.10.0.39:5140
咪咕体育,http://op.nicker.top:5023/udp/239.10.0.40:5140
咪咕体育,http://op.nicker.top:5023/udp/239.10.0.41:5140
咪咕体育,http://op.nicker.top:5023/udp/239.10.0.43:5140
泸州新闻综合台,http://op.nicker.top:5023/udp/239.10.0.46:5140
泸州科技生活,http://op.nicker.top:5023/udp/239.10.0.48:5140
ABTV1标清,http://op.nicker.top:5023/udp/239.10.0.50:5140
ABTV2标清,http://op.nicker.top:5023/udp/239.10.0.51:5140
巴中综合HD,http://op.nicker.top:5023/udp/239.10.0.52:5140
巴中文旅HD,http://op.nicker.top:5023/udp/239.10.0.53:5140
达州新闻综合HD,http://op.nicker.top:5023/udp/239.10.0.54:5140
达州文化生活HD,http://op.nicker.top:5023/udp/239.10.0.55:5140
德阳新闻综合HD,http://op.nicker.top:5023/udp/239.10.0.56:5140
德阳文旅科教HD,http://op.nicker.top:5023/udp/239.10.0.57:5140
广安新闻综合HD,http://op.nicker.top:5023/udp/239.10.0.58:5140
广安文旅乡村HD,http://op.nicker.top:5023/udp/239.10.0.59:5140
广元综合HD,http://op.nicker.top:5023/udp/239.10.0.60:5140
广元文化生活HD,http://op.nicker.top:5023/udp/239.10.0.61:5140
乐山新闻综合HD,http://op.nicker.top:5023/udp/239.10.0.62:5140
